year,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
2016,Cleveland Cavaliers,57,25,.695,—,104.3,98.3,5.45
2016,Toronto Raptors,56,26,.683,1.0,102.7,98.2,4.08
2016,Miami Heat,48,34,.585,9.0,100.0,98.4,1.50
2016,Atlanta Hawks,48,34,.585,9.0,102.8,99.2,3.49
2016,Boston Celtics,48,34,.585,9.0,105.7,102.5,2.84
2016,Charlotte Hornets,48,34,.585,9.0,103.4,100.7,2.36
2016,Indiana Pacers,45,37,.549,12.0,102.2,100.5,1.62
2016,Detroit Pistons,44,38,.537,13.0,102.0,101.4,0.43
2016,Chicago Bulls,42,40,.512,15.0,101.6,103.1,-1.46
2016,Washington Wizards,41,41,.500,16.0,104.1,104.6,-0.50
2016,Orlando Magic,35,47,.427,22.0,102.1,103.7,-1.68
2016,Milwaukee Bucks,33,49,.402,24.0,99.0,103.2,-3.98
2016,New York Knicks,32,50,.390,25.0,98.4,101.1,-2.74
2016,Brooklyn Nets,21,61,.256,36.0,98.6,106.0,-7.12
2016,Philadelphia 76ers,10,72,.122,47.0,97.4,107.6,-9.92
2016,,,,,,,,
2016,Golden State Warriors,73,9,.890,—,114.9,104.1,10.38
2016,San Antonio Spurs,67,15,.817,6.0,103.5,92.9,10.28
2016,Oklahoma City Thunder,55,27,.671,18.0,110.2,102.9,7.09
2016,Los Angeles Clippers,53,29,.646,20.0,104.5,100.2,4.13
2016,Portland Trail Blazers,44,38,.537,29.0,105.1,104.3,0.98
2016,Dallas Mavericks,42,40,.512,31.0,102.3,102.6,-0.02
2016,Memphis Grizzlies,42,40,.512,31.0,99.1,101.3,-2.14
2016,Houston Rockets,41,41,.500,32.0,106.5,106.4,0.34
2016,Utah Jazz,40,42,.488,33.0,97.7,95.9,1.84
2016,Sacramento Kings,33,49,.402,40.0,106.6,109.1,-2.32
2016,Denver Nuggets,33,49,.402,40.0,101.9,105.0,-2.81
2016,New Orleans Pelicans,30,52,.366,43.0,102.7,106.5,-3.56
2016,Minnesota Timberwolves,29,53,.354,44.0,102.4,106.0,-3.38
2016,Phoenix Suns,23,59,.280,50.0,100.9,107.5,-6.32
2016,Los Angeles Lakers,17,65,.207,56.0,97.3,106.9,-8.92
